,profile
1,Accountant
2,Accounting Analyst
3,Accounting Consultant
4,Accounting Director
5,Accounting Manager
6,Accounting Officer
7,Accounting Supervisor
8,Actuarial Manager
9,Agricultural Loan Officer
10,"Analyst, Credit Risk Management"
11,Asset Manager
12,Assistant Bank Manager
13,"Assistant Branch Manager, Banking"
14,Assistant Controller
15,Assistant Controller (Financial)
16,Assistant Director of Finance
17,Assistant Finance Manager
18,Assistant Financial Consultant
19,Assistant Loan Officer
20,"Assistant Vice President (AVP), Consumer Lending"
21,"Assistant Vice President (AVP), Mortgage Lending"
22,Associate Auditor
23,Associate Director of Financial Services
24,Associate Financial Analyst
25,Associate Financial Planner
26,Associate - Investment Banking
27,Associate - Venture Capital Firm
28,Audit Specialist
29,Audit Supervisor
30,Auditing Manager
31,Auditor
32,Bank Accountant
33,Bank Manager
34,Bank Officer
35,Bank Secrecy Act / Anti-Money Laundering Analyst
36,Bank Secrecy Act-Anti-Money Laundering (BSA/AML) Officer
37,"Branch Manager, Banking"
38,"Branch Manager, Commercial Lending"
39,"Branch Manager, Consumer Lending"
40,"Branch Manager, Insurance Office"
41,Budget Analyst
42,Budget Manager
43,"Business Analyst, Finance/Banking"
44,"Business Process Analyst, Banking"
45,Cash Manager
46,Certified Financial Planner (CFP)
47,Certified Management Accountant
48,Certified Public Accountant (CPA)
49,Chartered Accountant
50,Chartered Financial Analyst (CFA)
51,Chief Credit Officer
52,Chief Internal Auditor
53,Commercial Accountant
54,Commercial Banker
55,Commercial Credit Analyst
56,Commercial Finance Manager
57,Company Accountant
58,Compliance Analyst
59,Compliance Auditor
60,Compliance Director
61,Compliance Manager
62,Compliance Officer
63,"Compliance Officer (but not Agriculture, Construction, Health / Safety, or Transportation)"
64,Compliance Specialist
65,"Consultant, Banking"
66,Corporate Accountant
67,Corporate Controller
68,Cost Accountant
69,Cost Accounting Manager
70,Cost Controller
71,Credit Administrator
72,Credit Analyst
73,"Credit Analyst, Banking"
74,Credit Manager
75,Credit Risk Analyst
76,Credit Risk Manager
77,Credit Union Branch Manager
78,Director of Finance
79,Director of Finance & Administration
80,Enrolled Agent
81,Entry-level Staff Accountant
82,Equity Analyst
83,Equity Research Associate
84,Finance Administrator
85,Finance Analyst
86,Finance Associate
87,Finance Coordinator
88,Finance Director
89,Finance Manager
90,Finance Officer
91,Finance Specialist
92,Finance Supervisor
93,Financial Accountant
94,Financial Accounting Manager
95,Financial Advisor
96,Financial Advisor Trainee
97,Financial Analysis Manager
98,Financial Analyst
99,Financial Analyst Accountant
100,"Financial Analyst, Corporate"
101,Financial Consultant
102,Financial Controller
103,"Financial Controller, Industrial Plant"
104,Financial Counselor
105,Financial Manager
106,Financial Officer
107,Financial Planner
108,Financial Planning Analyst
109,Financial Planning Assistant
110,Financial / Securities / Investments Analyst
111,Financial Services Manager
112,Financial Services Specialist
113,Financial Specialist
114,Financial Systems Analyst
115,Fixed Asset Accountant
116,Fixed Income Analyst
117,Foreign-Exchange Dealer
118,Foreign-Exchange Trader
119,Foreign Trade Officer
120,Forensic Accountant
121,Fraud Analyst
122,Fraud Investigator
123,Fund Accountant
124,General Accountant
125,General Ledger Accountant
126,Insurance Underwriter
127,"Insurance Underwriter, Casualty"
128,"Insurance Underwriter, Commercial Property"
129,"Insurance Underwriter, Life"
130,Internal Audit Director
131,Internal Auditing Manager
132,Internal Auditing Supervisor
133,Internal Auditor
134,Investment Advisor
135,Investment Analyst
136,Investment Associate
137,Investment Banker
138,Investment Banking Analyst
139,Investor Relations Associate
140,Investor Relations Manager
141,Jewelry Appraiser
142,Junior Accountant
143,"Junior Associate, Tax"
144,Junior Financial Analyst
145,Junior Underwriter
146,Loan Officer
147,"Loan Officer, Commercial"
148,Management Accountant
149,"Manager, Financial Planning & Analysis"
150,"Manager, Underwriting"
151,Manager of Accounting & Financial Reporting
152,"Managing Director, Private Equity Investments"
153,Medical Coding Auditor
154,Mortgage Loan Officer
155,"Operations Manager, Financial"
156,Paraplanner
157,"Partner - Venture Firm, General Banking and Finance"
158,Payroll Accountant
159,Personal Financial Advisor
160,Plant Controller
161,Portfolio Administrator
162,Portfolio Analyst
163,Portfolio Manager
164,Private Banker
165,Private Equity Analyst
166,Private Equity Research Analyst
167,Project Accountant
168,Quantitative Analyst
169,"Quantitative Analyst, Risk"
170,Quantitative Researcher
171,Real Estate Appraiser
172,Real Estate Asset Manager
173,Regulatory Compliance Manager
174,"Research Analyst, Financial"
175,"Researcher, Financial"
176,Revenue Accountant
177,Risk Analyst
178,Risk Assessor
179,Risk Control Analyst
180,Risk Control Manager
181,Risk Control Officer
182,Risk Management Analyst
183,Risk Management Consultant
184,Risk Management Manager
185,Risk Management Specialist
186,Risk Manager
187,"Safety and Risk Manager, Insurance"
188,Senior Accountant
189,Senior Accounting Specialist
190,"Senior Analyst, Finance"
191,"Senior Analyst, Investment Banking"
192,Senior Associate - Investment Banking
193,Senior Audit Associate
194,Senior Auditor
195,Senior Chartered Financial Analyst (CFA)
196,Senior Compliance Analyst
197,Senior Credit Analyst
198,Senior Finance Manager
199,Senior Financial Accountant
200,Senior Financial Analyst
201,Senior Fund Accountant
202,Senior Information Technology (IT) Auditor
203,Senior Internal Auditor
204,"Senior Investment Associate, Financial Services"
205,Senior Manager Accountant
206,Senior Manager Accountant / Auditor
207,Senior Manager Auditor
208,"Senior Manager, Finance Transformation"
209,"Senior Manager, Financial Planning & Analysis"
210,Senior Portfolio Analyst
211,Senior Risk Manager
212,Senior Staff Accountant
213,Senior Tax Accountant
214,Senior Tax Analyst
215,Senior Tax Associate
216,Senior Tax Manager
217,Senior Tax Specialist
218,Senior Treasury Analyst
219,Senior Underwriter
220,"Specialist, Risk Management / Risk Control"
221,Sr. Compliance Officer
222,Staff Accountant
223,Staff Auditor
224,Tax Accountant
225,Tax Analyst
226,Tax Associate
227,Tax Compliance Manager
228,Tax Consultant
229,Tax Director
230,"Tax Examiner, Collector, or Revenue Agent"
231,Tax Manager
232,Tax Preparer
233,Tax Specialist
234,Treasurer
235,Treasury Analyst
236,Treasury Assistant
237,Treasury Manager
238,Underwriter
239,Underwriting Assistant
240,Universal Banker
241,Valuation Analyst
242,"Vice President, Compliance Officer"
243,"Vice President (VP), Risk Management"
244,"Vice President & Branch Manager, Banking"
245,Wealth Advisor
246,Account Analyst
247,Account Clerk
248,Account Payable Associate
249,Account Reconciliation Analyst
250,Account Representative
251,"Account Representative, Financial Planning & Insurance"
252,Accounting Administrator
253,Accounting Assistant
254,Accounting Associate
255,Accounting Clerk
256,Accounting Coordinator
257,Accounting Intern
258,Accounting Specialist
259,Accounting Technician
260,Accounts Administrator
261,Accounts Assistant
262,Accounts Payable (A/P) Administrator
263,Accounts Payable Analyst
264,Accounts Payable Clerk
265,Accounts Payable Coordinator
266,Accounts Payable Manager
267,Accounts Payable Processor
268,Accounts Payable Specialist
269,Accounts Payable Supervisor
270,Accounts Receivable Analyst
271,Accounts Receivable Clerk
272,Accounts Receivable Coordinator
273,Accounts Receivable / Credit Manager
274,Accounts Receivable Lead
275,Accounts Receivable Manager
276,Accounts Receivable Processor
277,Accounts Receivable Specialist
278,Accounts Receivable Supervisor
279,Actuarial Analyst
280,Actuarial Assistant
281,Administration Assistant
282,Administration Clerk
283,Administrative Assistant
284,Administrative Associate
285,Administrative Clerk
286,Administrative Coordinator
287,Administrative Director
288,Administrative Manager
289,Administrative / Office Manager
290,Administrative Officer
291,Administrative Secretary
292,Administrative Services Manager
293,Administrative Specialist
294,Administrative Supervisor
295,Administrative Support Assistant (ASA)
296,Administrative Support Specialist
297,Admissions Coordinator
298,Airline Reservation Agent
299,Airline Ticket Agent
300,Analytics Analyst
301,Analytics Consultant
302,Analytics Specialist
303,Assistant Accountant
304,Assistant Auditor
305,Assistant Corporate Secretary
306,Assistant Editor
307,"Assistant Manager, Medical Office"
308,Assistant Office Manager
309,Assistant To The Vice President
310,Assistant to the Director
311,Associate Accountant
312,Audit Clerk
313,Bank Clerk
314,Bank Teller
315,Banking Account Specialist
316,"Banking Supervisor, Check Processing"
317,Bill / Account Collector
318,Billing Administrator
319,Billing Analyst
320,Billing Assistant
321,Billing Clerk
322,Billing Coordinator
323,Billing Manager
324,Billing / Posting Clerk
325,Billing Specialist
326,Billing Supervisor
327,Biotechnology Technician
328,Bookkeeper
329,"Bookkeeping, Accounting, or Auditing Clerk"
330,"Business Administration Manager, Non-Profit Organization"
331,Business Administrator
332,Business Advisory Services Manager
333,Business Director
334,Business Manager
335,"Business Manager, Retail"
336,"Business Manager, eCommerce / Web"
337,Business Office Manager
